JTReliability,M_Link_ID,Sum of ReliableVKT,Sum of TotalVKT
0.743725231176,999,563,757
0.809496890899,1000,1432,1769
1,1001,33600,33600
1,1002,7587,7587
0.691616766467,1003,1155,1670
0.733972961186,1004,13464,18344
0.814842401056,1005,24068,29537
0.804374604654,1006,24161,30037
0.832338872725,1007,16879,20279
0.887128674475,1008,45751,51572
0.755569155447,1009,6173,8170
0.822266666667,1010,37002,45000
0.690627700526,1011,8791,12729
0.750315442104,1012,15461,20606
0.723446893788,1013,2527,3493
0.7287206781,1014,18484,25365
0.788002859557,1015,12125,15387
0.793003778447,1016,45543,57431
0.729603729604,1017,18467,25311
0.746276474607,1018,32769,43910
0.817305929223,1019,49031,59991
0.731935813004,1020,7891,10781
0.740532846862,1021,36940,49883
0.673241232731,1022,15838,23525
0.577798349148,1023,7490,12963
0.638655897277,1024,12335,19314
0.765865032919,1025,67004,87488
0.524677774285,1026,1669,3181
0.645066606457,1027,2857,4429
0.669546092057,1028,21005,31372
0.595602560534,1029,2140,3593
0.927443145248,1030,69165,74576
0.768309757157,1031,15914,20713
0.768872605145,1032,30219,39303
0.761013880507,1033,73138,96106
0.542264752791,1034,680,1254
0.190476190476,1035,132,693
None,1036,None,None
0.746458264051,1037,11223,15035
0.681386710689,1038,1651,2423
0.706648575305,1039,20832,29480
0.720177614209,1040,18003,24998
0.637060446584,1041,144535,226878
0.753624913558,1042,132953,176418
0.810984431201,1043,61102,75343
0.76129934101,1044,22874,30046
0.97375260764,1045,113894,116964
0.803926788686,1046,12079,15025
0.762373489345,1047,71410,93668
0.674520695216,1048,7529,11162
0.713310580205,1049,5852,8204
0.809280687996,1050,151694,187443
0.747192515756,1051,41851,56011
0.742193070013,1052,10410,14026
0.790066225166,1053,22667,28690
0.756018839174,1054,54577,72190
0.729480375216,1055,23641,32408
0.836833011093,1056,130279,155681
0.85764340078,1057,110883,129288
0.812812494148,1058,43405,53401
0.888250951932,1059,74415,83777
0.842553789903,1060,29957,35555
0.804004214963,1061,46543,57889
0.828217555197,1062,1538,1857
0.835637179807,1063,46911,56138
0.838137874709,1064,27708,33059
0.838181742773,1065,101047,120555
0.803070218233,1066,24692,30747
0.92491720712,1067,107246,115952
0.817816779084,1068,36253,44329
0.89715818171,1069,60551,67492
0.782173066595,1070,46605,59584
0.772151127361,1071,25342,32820
0.743642611684,1072,1082,1455
0.742460182989,1073,2191,2951
0.846589568091,1074,10761,12711
0.826914755517,1075,1911,2311
0.996162397913,1076,93189,93548
0.876200640342,1077,1642,1874
0.734263772487,1078,41878,57034
0.752729232427,1079,48886,64945
0.747609326314,1080,6958,9307
0.780967514654,1081,52096,66707
0.856688788873,1082,33691,39327
0.925014373688,1083,133536,144361
0.78723199877,1084,40977,52052
0.801490098686,1085,61318,76505
0.932989960455,1086,124807,133771
0.762238442822,1087,7832,10275
0.792934724164,1088,14747,18598
0.774273209123,1089,38565,49808
0.727925971878,1090,14081,19344
0.798206751055,1091,68103,85320
0.773352925301,1092,51578,66694
0.741816505302,1093,4827,6507
0.708529214238,1094,6330,8934
0.628126948929,1095,18129,28862
0.679699909017,1096,88153,129694
0.720119581465,1097,36132,50175
0.670018097728,1098,9996,14919
0.831875539384,1099,106995,128619
0.852316240385,1100,150023,176018
0.733673692257,1101,26873,36628
0.749218314987,1102,17492,23347
0.755015993021,1103,57123,75658
0.71059337459,1104,7808,10988
0.8690644732,1105,122771,141268
0.855438749387,1106,78525,91795
0.801826677995,1107,49075,61204
0.904431691376,1108,170205,188190
0.936993590519,1109,46488,49614
